month,P_t,D_t,S_t,month_num,year,month_sin,month_cos,D_t_lag1,D_t_lag2,D_t_lag3,D_t_lag6,D_t_lag12,D_t_ma3,D_t_std3,D_t_ma6,D_t_std6,D_t_ma12,D_t_std12
2010-05-01,10608150.0,1444875.0,0.1362042391934503,5,2010,0.49999999999999994,-0.8660254037844387,830550.0,757500.0,662575.0,845950.0,440250.0,750208.3333333334,84224.55970994038,759541.6666666666,119563.78911136388,671808.3333333334,203247.8704834581
2010-06-01,11169550.0,1616575.0,0.1447305397263094,6,2010,1.2246467991473532e-16,-1.0,1444875.0,830550.0,757500.0,575650.0,448550.0,1010975.0,377539.37956854247,859362.5,307866.1018811588,755527.0833333334,288304.37286957627
2010-07-01,11936500.0,1373325.0,0.1150525698487831,7,2010,-0.4999999999999997,-0.8660254037844388,1616575.0,1444875.0,830550.0,885025.0,474300.0,1297333.3333333333,413261.700025944,1032850.0,396534.5369573753,852862.5,362791.18845481146
2010-08-01,12101875.0,1608825.0,0.1329401435727934,8,2010,-0.8660254037844384,-0.5000000000000004,1373325.0,1616575.0,1444875.0,662575.0,448900.0,1478258.3333333333,125013.90256020859,1114233.3333333333,410007.2458709318,927781.25,370259.08974248264
2010-09-01,12252600.0,1856025.0,0.1514800940208608,9,2010,-1.0,-1.8369701987210297e-16,1608825.0,1373325.0,1616575.0,757500.0,641600.0,1532908.3333333333,138257.5344541242,1271941.6666666667,382602.6305668411,1024441.6666666666,384989.2835482174
2010-10-01,13132125.0,1725825.0,0.1314200862388989,10,2010,-0.8660254037844386,0.5000000000000001,1856025.0,1608825.0,1373325.0,830550.0,1050850.0,1612725.0,241373.63153418395,1455029.1666666667,348511.342862993,1125643.75,431955.91014553694
2010-11-01,13481475.0,1703675.0,0.126371558008304,11,2010,-0.5000000000000004,0.8660254037844384,1725825.0,1856025.0,1608825.0,1444875.0,845950.0,1730225.0,123658.72391384281,1604241.6666666667,177240.35281692108,1181891.6666666667,464082.9159522983
2010-12-01,14289000.0,1566425.0,0.1096245363566379,12,2010,-2.4492935982947064e-16,1.0,1703675.0,1725825.0,1856025.0,1616575.0,575650.0,1761841.6666666667,82313.6126854686,1647375.0,161491.21338326737,1253368.75,473593.21285698836
2011-01-01,14824575.0,2044575.0,0.1379179504302821,1,2011,0.49999999999999994,0.8660254037844387,1566425.0,1703675.0,1725825.0,1373325.0,885025.0,1665308.3333333333,86348.6585497038,1639016.6666666667,164670.6726064683,1335933.3333333333,428962.21813037735
2011-02-01,14601275.0,2050975.0,0.1404654730494426,2,2011,0.8660254037844386,0.5000000000000001,2044575.0,1566425.0,1703675.0,1608825.0,662575.0,1771558.3333333333,246197.00614210026,1750891.6666666667,175710.87520886876,1432562.5,448320.3772136619
2011-03-01,16567325.0,2641900.0,0.159464488081208,3,2011,1.0,6.123233995736766e-17,2050975.0,2044575.0,1566425.0,1856025.0,757500.0,1887325.0,277925.9748566154,1824583.3333333333,195783.48095962196,1548262.5,408969.676234737
2011-04-01,17542075.0,2877750.0,0.164048437827338,4,2011,0.8660254037844387,-0.4999999999999998,2641900.0,2050975.0,2044575.0,1725825.0,830550.0,2245816.6666666665,343033.1546779894,1955562.5,388777.7153303671,1705295.8333333333,438452.0491603146
2011-05-01,19327950.0,3425300.0,0.1772200362687196,5,2011,0.49999999999999994,-0.8660254037844387,2877750.0,2641900.0,2050975.0,1703675.0,1444875.0,2523541.6666666665,425905.7952861565,2147550.0,516185.2041661016,1875895.8333333333,464646.33408272505
2011-06-01,20940200.0,3415350.0,0.1631001614120209,6,2011,1.2246467991473532e-16,-1.0,3425300.0,2877750.0,2641900.0,1566425.0,1616575.0,2981650.0,401902.0993973535,2434487.5,674367.4218758644,2040931.25,622523.6338270986
2011-07-01,21337600.0,3654425.0,0.1712669184913017,7,2011,-0.4999999999999997,-0.8660254037844388,3415350.0,3425300.0,2877750.0,2044575.0,1373325.0,3239466.6666666665,313295.3252656885,2742641.6666666665,618492.0202934446,2190829.1666666665,719987.9083449104
2011-08-01,23247525.0,3249650.0,0.1397847727876408,8,2011,-0.8660254037844384,-0.5000000000000004,3654425.0,3415350.0,3425300.0,2050975.0,1608825.0,3498358.3333333335,135249.2290489434,3010950.0,604115.4693020202,2380920.8333333335,782907.7543358749
2011-09-01,25837650.0,4188900.0,0.162123877365008,9,2011,-1.0,-1.8369701987210297e-16,3249650.0,3654425.0,3415350.0,2641900.0,1856025.0,3439808.3333333335,203492.89350818514,3210729.1666666665,379666.40568289254,2517656.25,779078.1014008715
2011-10-01,27482550.0,4354825.0,0.1584578214175904,10,2011,-0.8660254037844386,0.5000000000000001,4188900.0,3249650.0,3654425.0,2877750.0,1725825.0,3697658.3333333335,471115.146708672,3468562.5,437062.0756111196,2712062.5,883091.8746280544
2011-11-01,28332600.0,5074650.0,0.1791099299040681,11,2011,-0.5000000000000004,0.8660254037844384,4354825.0,4188900.0,3249650.0,3425300.0,1703675.0,3931125.0,595977.2714835694,3714741.6666666665,453407.76478426874,2931145.8333333335,940425.3385396552
2011-12-01,31642500.0,6382300.0,0.2017002449237576,12,2011,-2.4492935982947064e-16,1.0,5074650.0,4354825.0,4188900.0,3415350.0,1566425.0,4539458.333333333,470855.9933337725,3989633.3333333335,684116.1644170285,3212060.4166666665,1038765.3256422406
2012-01-01,34220475.0,6438800.0,0.1881563596063467,1,2012,0.49999999999999994,0.8660254037844387,6382300.0,5074650.0,4354825.0,3654425.0,2044575.0,5270591.666666667,1027841.7054480391,4484125.0,1119642.3547276156,3613383.3333333335,1253321.0250141125
2012-02-01,36058175.0,6492450.0,0.180054869665478,2,2012,0.8660254037844386,0.5000000000000001,6438800.0,6382300.0,5074650.0,3249650.0,2050975.0,5965250.0,771799.4120884001,4948187.5,1273438.1221470872,3979568.75,1387989.6564376273
2012-03-01,39536300.0,6484100.0,0.1640037130434562,3,2012,1.0,6.123233995736766e-17,6492450.0,6438800.0,6382300.0,4188900.0,2641900.0,6437850.0,55081.1446867256,5488654.166666667,1082156.6409740166,4349691.666666667,1418798.3005127544
2012-04-01,42051125.0,6970325.0,0.1657583477255364,4,2012,0.8660254037844387,-0.4999999999999998,6484100.0,6492450.0,6438800.0,4354825.0,2877750.0,6471783.333333333,28867.903168282526,5871187.5,925081.1839711689,4669875.0,1431839.6604702133
2012-05-01,45090825.0,8348925.0,0.185157956191753,5,2012,0.49999999999999994,-0.8660254037844387,6970325.0,6484100.0,6492450.0,5074650.0,3425300.0,6648958.333333333,278343.01043556567,6307104.166666667,639919.3629701842,5010922.916666667,1453410.0014534136
